N_W,N_L,P_W,P_L,Corner,Temperature,Power,VDD
,,,,TT,0,7.356909703725271e-11,0.775
,,,,FF,70,4.1141649329502766e-09,0.8
,,,,FF,0,5.946713881949006e-10,0.8
,,,,TT,70,4.198324276513737e-09,0.8
,,,,TT,27,5.37131681623283e-10,0.8
,,,,FF,27,1.197867982294756e-09,0.8
,,,,TT,0,9.860563558601911e-10,0.8
,,,,FF,70,4.1141649329502766e-09,0.8
,,,,FF,0,5.946713881949006e-10,0.8
,,,,TT,70,4.198324276513737e-09,0.8
,,,,TT,27,5.37131681623283e-10,0.8
,,,,FF,27,1.197867982294756e-09,0.8
,,,,TT,0,9.860563558601911e-10,0.8
,,,,FF,70,4.654559377642578e-09,0.75
,,,,FF,0,5.407854103554942e-10,0.75
,,,,TT,70,4.5636990861347775e-09,0.75
,,,,TT,27,1.161535657659862e-09,0.75
,,,,FF,27,2.401629222674749e-09,0.75
,,,,TT,0,9.016446145317563e-10,0.75
,,,,FF,70,1.272927861481417e-09,0.55
,,,,FF,0,5.199065784523912e-09,0.55
,,,,TT,70,5.342741158317075e-09,0.55
,,,,TT,27,1.457171339383079e-09,0.55
,,,,FF,27,3.7830124880548e-09,0.55
,,,,TT,0,1.1793529152604611e-09,0.55
,,,,FF,70,4.480126932383859e-09,0.825
,,,,FF,0,2.00820302449552e-09,0.825
,,,,TT,70,3.596623096265022e-09,0.825
,,,,TT,27,1.493296322405624e-09,0.825
,,,,FF,27,1.1737418245637423e-09,0.825
,,,,TT,0,1.5300215806747123e-09,0.825
,,,,FF,70,1.841494014965566e-09,0.475
,,,,FF,0,2.1568814388128037e-10,0.475
,,,,TT,70,1.89350230985153e-09,0.475
,,,,TT,27,1.791183059507956e-09,0.475
,,,,FF,27,2.283375334192902e-09,0.475
,,,,TT,0,3.5398677612358683e-09,0.475
,,,,FF,70,5.077463275310148e-09,0.725
,,,,FF,0,2.605897079214911e-09,0.725
,,,,TT,70,3.192121979816598e-09,0.725
,,,,TT,27,1.049935740577676e-09,0.725
,,,,FF,27,3.3967749109736034e-09,0.725
,,,,TT,0,1.357010235598614e-09,0.725
,,,,FF,70,3.076141402192999e-09,0.525
,,,,FF,0,5.370369851011546e-09,0.525
,,,,TT,70,4.3632440257795486e-10,0.525
,,,,TT,27,3.571797088922137e-09,0.525
,,,,FF,27,2.558977421024241e-09,0.525
,,,,TT,0,1.208299883867363e-09,0.525
,,,,FF,70,3.829966983210491e-09,0.625
,,,,FF,0,5.521080348909794e-09,0.625
,,,,TT,70,1.74023429450097e-09,0.625
,,,,TT,27,3.680463923859826e-09,0.625
,,,,FF,27,3.215392220041637e-09,0.625
,,,,TT,0,5.242025890219859e-09,0.625
,,,,FF,70,1.6939854884896935e-09,0.6
,,,,FF,0,2.712640272446861e-09,0.6
,,,,TT,70,2.939076117154032e-09,0.6
,,,,TT,27,2.1894785521107856e-09,0.6
,,,,FF,27,1.6378501309052915e-10,0.6
,,,,TT,0,5.389855577924505e-09,0.6
,,,,FF,70,5.978799157614271e-09,0.675
,,,,FF,0,5.279354594483137e-09,0.675
,,,,TT,70,1.5296783109562391e-09,0.675
,,,,TT,27,1.4906119800097647e-09,0.675
,,,,FF,27,4.258300561261347e-09,0.675
,,,,TT,0,5.63028001543018e-10,0.675
,,,,FF,70,4.5536656759968117e-10,0.575
,,,,FF,0,1.9627900747211256e-09,0.575
,,,,TT,70,4.087357293993285e-09,0.575
,,,,TT,27,4.89433655221027e-10,0.575
,,,,FF,27,2.9934099782168983e-09,0.575
,,,,TT,0,3.427274755750521e-09,0.575
,,,,FF,70,5.966503578928227e-09,0.7
,,,,FF,0,4.198209610104241e-09,0.7
,,,,TT,70,2.204908079336645e-09,0.7
,,,,TT,27,1.4089218564110435e-10,0.7
,,,,FF,27,3.5054774413070702e-09,0.7
,,,,TT,0,1.1145583715732716e-09,0.7
,,,,FF,70,4.839111966673391e-10,0.45
,,,,FF,0,2.83576158584423e-09,0.45
,,,,TT,70,2.429047797346264e-09,0.45
,,,,TT,27,8.665319412435809e-11,0.45
,,,,FF,27,4.625567384446488e-09,0.45
,,,,TT,0,1.3527004006067171e-09,0.45
,,,,FF,70,5.613987852169376e-09,0.65
,,,,FF,0,5.819661275520675e-09,0.65
,,,,TT,70,8.347462732262269e-10,0.65
,,,,TT,27,3.0989008116954512e-09,0.65
,,,,FF,27,4.478610450356717e-09,0.65
,,,,TT,0,3.2218671172248646e-09,0.65
,,,,FF,70,4.812693533289729e-09,0.5
,,,,FF,0,3.024163664061381e-09,0.5
,,,,TT,70,3.972384641621861e-10,0.5
,,,,TT,27,5.086649019605248e-09,0.5
,,,,FF,27,1.1888007716076544e-10,0.5
,,,,TT,0,3.576840798396666e-09,0.5
,,,,FF,70,4.545993541568528e-09,0.775
,,,,FF,0,1.2250328937339747e-10,0.775
,,,,TT,70,4.243311930073776e-09,0.775
,,,,TT,27,4.69519399279175e-10,0.775
,,,,FF,27,1.427805942627767e-09,0.775
,,,,TT,0,7.356909703725271e-11,0.775
,,,,FF,70,4.1141649329502766e-09,0.8
,,,,FF,0,5.946713881949006e-10,0.8
,,,,TT,70,4.198324276513737e-09,0.8
,,,,TT,27,5.37131681623283e-10,0.8
,,,,FF,27,1.197867982294756e-09,0.8
,,,,TT,0,9.860563558601911e-10,0.8
,,,,FF,70,4.654559377642578e-09,0.75
,,,,FF,0,5.407854103554942e-10,0.75
,,,,TT,70,4.5636990861347775e-09,0.75
,,,,TT,27,1.161535657659862e-09,0.75
,,,,FF,27,2.401629222674749e-09,0.75
,,,,TT,0,9.016446145317563e-10,0.75
,,,,FF,70,1.272927861481417e-09,0.55
,,,,FF,0,5.199065784523912e-09,0.55
,,,,TT,70,5.342741158317075e-09,0.55
,,,,TT,27,1.457171339383079e-09,0.55
,,,,FF,27,3.7830124880548e-09,0.55
,,,,TT,0,1.1793529152604611e-09,0.55
,,,,FF,70,4.480126932383859e-09,0.825
,,,,FF,0,2.00820302449552e-09,0.825
,,,,TT,70,3.596623096265022e-09,0.825
,,,,TT,27,1.493296322405624e-09,0.825
,,,,FF,27,1.1737418245637423e-09,0.825
,,,,TT,0,1.5300215806747123e-09,0.825
,,,,FF,70,1.841494014965566e-09,0.475
,,,,FF,0,2.1568814388128037e-10,0.475
,,,,TT,70,1.89350230985153e-09,0.475
,,,,TT,27,1.791183059507956e-09,0.475
,,,,FF,27,2.283375334192902e-09,0.475
,,,,TT,0,3.5398677612358683e-09,0.475
,,,,FF,70,5.077463275310148e-09,0.725
,,,,FF,0,2.605897079214911e-09,0.725
,,,,TT,70,3.192121979816598e-09,0.725
,,,,TT,27,1.049935740577676e-09,0.725
,,,,FF,27,3.3967749109736034e-09,0.725
,,,,TT,0,1.357010235598614e-09,0.725
,,,,FF,70,3.076141402192999e-09,0.525
,,,,FF,0,5.370369851011546e-09,0.525
,,,,TT,70,4.3632440257795486e-10,0.525
,,,,TT,27,3.571797088922137e-09,0.525
,,,,FF,27,2.558977421024241e-09,0.525
,,,,TT,0,1.208299883867363e-09,0.525
,,,,FF,70,3.829966983210491e-09,0.625
,,,,FF,0,5.521080348909794e-09,0.625
,,,,TT,70,1.74023429450097e-09,0.625
,,,,TT,27,3.680463923859826e-09,0.625
,,,,FF,27,3.215392220041637e-09,0.625
,,,,TT,0,5.242025890219859e-09,0.625
,,,,FF,70,1.6939854884896935e-09,0.6
,,,,FF,0,2.712640272446861e-09,0.6
,,,,TT,70,2.939076117154032e-09,0.6
,,,,TT,27,2.1894785521107856e-09,0.6
,,,,FF,27,1.6378501309052915e-10,0.6
,,,,TT,0,5.389855577924505e-09,0.6
,,,,FF,70,5.978799157614271e-09,0.675
,,,,FF,0,5.279354594483137e-09,0.675
,,,,TT,70,1.5296783109562391e-09,0.675
,,,,TT,27,1.4906119800097647e-09,0.675
,,,,FF,27,4.258300561261347e-09,0.675
,,,,TT,0,5.63028001543018e-10,0.675
,,,,FF,70,4.5536656759968117e-10,0.575
,,,,FF,0,1.9627900747211256e-09,0.575
,,,,TT,70,4.087357293993285e-09,0.575
,,,,TT,27,4.89433655221027e-10,0.575
,,,,FF,27,2.9934099782168983e-09,0.575
,,,,TT,0,3.427274755750521e-09,0.575
,,,,FF,70,5.966503578928227e-09,0.7
,,,,FF,0,4.198209610104241e-09,0.7
,,,,TT,70,2.204908079336645e-09,0.7
,,,,TT,27,1.4089218564110435e-10,0.7
,,,,FF,27,3.5054774413070702e-09,0.7
,,,,TT,0,1.1145583715732716e-09,0.7
,,,,FF,70,4.839111966673391e-10,0.45
,,,,FF,0,2.83576158584423e-09,0.45
,,,,TT,70,2.429047797346264e-09,0.45
,,,,TT,27,8.665319412435809e-11,0.45
,,,,FF,27,4.625567384446488e-09,0.45
,,,,TT,0,1.3527004006067171e-09,0.45
,,,,FF,70,5.613987852169376e-09,0.65
,,,,FF,0,5.819661275520675e-09,0.65
,,,,TT,70,8.347462732262269e-10,0.65
,,,,TT,27,3.0989008116954512e-09,0.65
,,,,FF,27,4.478610450356717e-09,0.65
,,,,TT,0,3.2218671172248646e-09,0.65
,,,,FF,70,4.812693533289729e-09,0.5
,,,,FF,0,3.024163664061381e-09,0.5
,,,,TT,70,3.972384641621861e-10,0.5
,,,,TT,27,5.086649019605248e-09,0.5
,,,,FF,27,1.1888007716076544e-10,0.5
,,,,TT,0,3.576840798396666e-09,0.5
,,,,FF,70,4.545993541568528e-09,0.775
,,,,FF,0,1.2250328937339747e-10,0.775
,,,,TT,70,4.243311930073776e-09,0.775
,,,,TT,27,4.69519399279175e-10,0.775
,,,,FF,27,1.427805942627767e-09,0.775
,,,,TT,0,7.356909703725271e-11,0.775
,,,,FF,70,4.1141649329502766e-09,0.8
,,,,FF,0,5.946713881949006e-10,0.8
,,,,TT,70,4.198324276513737e-09,0.8
,,,,TT,27,5.37131681623283e-10,0.8
,,,,FF,27,1.197867982294756e-09,0.8
,,,,TT,0,9.860563558601911e-10,0.8
,,,,FF,70,4.654559377642578e-09,0.75
,,,,FF,0,5.407854103554942e-10,0.75
,,,,TT,70,4.5636990861347775e-09,0.75
,,,,TT,27,1.161535657659862e-09,0.75
,,,,FF,27,2.401629222674749e-09,0.75
,,,,TT,0,9.016446145317563e-10,0.75
,,,,FF,70,1.272927861481417e-09,0.55
,,,,FF,0,5.199065784523912e-09,0.55
,,,,TT,70,5.342741158317075e-09,0.55
,,,,TT,27,1.457171339383079e-09,0.55
,,,,FF,27,3.7830124880548e-09,0.55
,,,,TT,0,1.1793529152604611e-09,0.55
,,,,FF,70,4.480126932383859e-09,0.825
,,,,FF,0,2.00820302449552e-09,0.825
,,,,TT,70,3.596623096265022e-09,0.825
,,,,TT,27,1.493296322405624e-09,0.825
,,,,FF,27,1.1737418245637423e-09,0.825
,,,,TT,0,1.5300215806747123e-09,0.825
,,,,FF,70,1.841494014965566e-09,0.475
,,,,FF,0,2.1568814388128037e-10,0.475
,,,,TT,70,1.89350230985153e-09,0.475
,,,,TT,27,1.791183059507956e-09,0.475
,,,,FF,27,2.283375334192902e-09,0.475
,,,,TT,0,3.5398677612358683e-09,0.475
,,,,FF,70,5.077463275310148e-09,0.725
,,,,FF,0,2.605897079214911e-09,0.725
,,,,TT,70,3.192121979816598e-09,0.725
,,,,TT,27,1.049935740577676e-09,0.725
,,,,FF,27,3.3967749109736034e-09,0.725
,,,,TT,0,1.357010235598614e-09,0.725
,,,,FF,70,3.076141402192999e-09,0.525
,,,,FF,0,5.370369851011546e-09,0.525
,,,,TT,70,4.3632440257795486e-10,0.525
,,,,TT,27,3.571797088922137e-09,0.525
,,,,FF,27,2.558977421024241e-09,0.525
,,,,TT,0,1.208299883867363e-09,0.525
,,,,FF,70,3.829966983210491e-09,0.625
,,,,FF,0,5.521080348909794e-09,0.625
,,,,TT,70,1.74023429450097e-09,0.625
,,,,TT,27,3.680463923859826e-09,0.625
,,,,FF,27,3.215392220041637e-09,0.625
,,,,TT,0,5.242025890219859e-09,0.625
,,,,FF,70,1.6939854884896935e-09,0.6
,,,,FF,0,2.712640272446861e-09,0.6
,,,,TT,70,2.939076117154032e-09,0.6
,,,,TT,27,2.1894785521107856e-09,0.6
,,,,FF,27,1.6378501309052915e-10,0.6
,,,,TT,0,5.389855577924505e-09,0.6
,,,,FF,70,5.978799157614271e-09,0.675
,,,,FF,0,5.279354594483137e-09,0.675
,,,,TT,70,1.5296783109562391e-09,0.675
,,,,TT,27,1.4906119800097647e-09,0.675
,,,,FF,27,4.258300561261347e-09,0.675
,,,,TT,0,5.63028001543018e-10,0.675
,,,,FF,70,4.5536656759968117e-10,0.575
,,,,FF,0,1.9627900747211256e-09,0.575
,,,,TT,70,4.087357293993285e-09,0.575
,,,,TT,27,4.89433655221027e-10,0.575
,,,,FF,27,2.9934099782168983e-09,0.575
,,,,TT,0,3.427274755750521e-09,0.575
,,,,FF,70,5.966503578928227e-09,0.7
,,,,FF,0,4.198209610104241e-09,0.7
,,,,TT,70,2.204908079336645e-09,0.7
,,,,TT,27,1.4089218564110435e-10,0.7
,,,,FF,27,3.5054774413070702e-09,0.7
,,,,TT,0,1.1145583715732716e-09,0.7
,,,,FF,70,4.839111966673391e-10,0.45
,,,,FF,0,2.83576158584423e-09,0.45
,,,,TT,70,2.429047797346264e-09,0.45
,,,,TT,27,8.665319412435809e-11,0.45
,,,,FF,27,4.625567384446488e-09,0.45
,,,,TT,0,1.3527004006067171e-09,0.45
,,,,FF,70,5.613987852169376e-09,0.65
,,,,FF,0,5.819661275520675e-09,0.65
,,,,TT,70,8.347462732262269e-10,0.65
,,,,TT,27,3.0989008116954512e-09,0.65
,,,,FF,27,4.478610450356717e-09,0.65
,,,,TT,0,3.2218671172248646e-09,0.65
,,,,FF,70,4.812693533289729e-09,0.5
,,,,FF,0,3.024163664061381e-09,0.5
,,,,TT,70,3.972384641621861e-10,0.5
,,,,TT,27,5.086649019605248e-09,0.5
,,,,FF,27,1.1888007716076544e-10,0.5
,,,,TT,0,3.576840798396666e-09,0.5
,,,,FF,70,4.545993541568528e-09,0.775
,,,,FF,0,1.2250328937339747e-10,0.775
,,,,TT,70,4.243311930073776e-09,0.775
,,,,TT,27,4.695193992791754e-10,0.775
,,,,FF,27,1.427805942627767e-09,0.775
,,,,TT,00,7.356909703725271e-11,0.775
